ordernumber,productline,quantityordered,dealsize,priceeach,sales,msrp,expsales,profit_loss,orderlinenumber,status,monthordered,dayordered,yearorders,qtr_id,productcode,customername,contactnames,phone,addressline1,city,country
10107,Motorcycles,30,Small,95.7,2871,95,2850,21,2,Shipped,February,24,2003,1,S10_1678,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10121,Motorcycles,34,Small,81.35,2765.9,95,3230,-464.1,5,Shipped,May,7,2003,2,S10_1678,Reims Collectables,Paul Henriot,26.47.1555,59 rue de l'Abbaye,Reims,France
10134,Motorcycles,41,Medium,94.74,3884.34,95,3895,-10.66,2,Shipped,July,1,2003,3,S10_1678,Lyon Souveniers,Daniel Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,France
10145,Motorcycles,45,Medium,83.26,3746.7,95,4275,-528.3,6,Shipped,August,25,2003,3,S10_1678,Toys4GrownUps.com,Julie Young,6265557265,78934 Hillside Dr.,Pasadena,USA
10159,Motorcycles,49,Medium,100,4900,95,4655,245,14,Shipped,October,10,2003,4,S10_1678,Corporate Gift Ideas Co.,Julie Brown,6505551386,7734 Strong St.,San Francisco,USA
10168,Motorcycles,36,Medium,96.66,3479.76,95,3420,59.76,1,Shipped,October,28,2003,4,S10_1678,Technics Stores Inc.,Juri Hirano,6505556809,9408 Furth Circle,Burlingame,USA
10180,Motorcycles,29,Small,86.13,2497.77,95,2755,-257.23,9,Shipped,November,11,2003,4,S10_1678,Daedalus Designs Imports,Martine Rance,20.16.1555,"184, chausse de Tournai",Lille,France
10188,Motorcycles,48,Medium,100,4800,95,4560,240,1,Shipped,November,18,2003,4,S10_1678,Herkku Gifts,Veysel Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway
10201,Motorcycles,22,Small,98.57,2168.54,95,2090,78.54,2,Shipped,December,1,2003,4,S10_1678,Mini Wheels Co.,Julie Murphy,6505555787,5557 North Pendale Street,San Francisco,USA
10211,Motorcycles,41,Medium,100,4100,95,3895,205,14,Shipped,January,15,2004,1,S10_1678,Auto Canal Petit,Dominique Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,France
10223,Motorcycles,37,Medium,100,3700,95,3515,185,1,Shipped,February,20,2004,1,S10_1678,"Australian Collectors, Co.",Peter Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,Australia
10237,Motorcycles,23,Small,100,2300,95,2185,115,7,Shipped,April,5,2004,2,S10_1678,Vitachrome Inc.,Michael Frick,2125551500,2678 Kingston Rd.,NYC,USA
10251,Motorcycles,28,Medium,100,2800,95,2660,140,2,Shipped,May,18,2004,2,S10_1678,Tekni Collectables Inc.,William Brown,2015559350,7476 Moss Rd.,Newark,USA
